0,12,5,0,0,2.5
20,12,115,0,0,57.5
40,12,245,0,0,122.5
60,12,265,0,0,132.5
80,12,315,0,0,157.5
100,12,605,0,0,302.5
120,12,885,0,0,442.5
140,12,215,0,0,107.5
160,12,375,0,0,187.5
180,12,605,0,0,302.5
200,12,865,0,0,432.5
220,12,415,1,0,297.5
240,12,755,1,0,467.5
260,12,795,1,0,487.5
280,12,1185,1,0,682.5
300,12,1405,1,0,792.5
320,12,1575,1,1,887.5
340,12,1825,1,1,1012.5
360,12,2065,1,1,1132.5
380,12,2315,1,1,1257.5
400,12,2375,1,1,1287.5
420,12,2465,1,1,1332.5
440,12,2485,1,1,1342.5
460,12,2695,1,2,1457.5
480,12,2895,1,2,1557.5
500,12,3005,1,2,1612.5
520,12,3205,1,2,1712.5
540,12,3375,1,2,1797.5
560,12,3405,1,2,1812.5
580,12,3525,1,2,1872.5
600,12,3755,1,2,1987.5
620,12,3935,1,2,2077.5
640,12,4165,1,2,2192.5
660,12,4575,1,2,2397.5
680,12,4995,1,2,2607.5
