0,9,10,0,0,5.0
20,9,140,0,0,70.0
40,9,210,0,0,105.0
60,9,320,0,0,160.0
80,9,350,0,0,175.0
100,9,350,0,0,175.0
120,9,420,0,0,210.0
140,9,550,0,0,275.0
160,9,620,0,0,310.0
180,9,660,0,0,330.0
200,9,840,0,0,420.0
220,9,1220,0,0,610.0
240,9,1470,0,0,735.0
260,9,580,1,0,380.0
280,9,790,1,0,485.0
300,9,990,1,0,585.0
320,9,1050,1,0,615.0
340,9,1210,1,0,695.0
360,9,1220,1,0,700.0
380,9,1250,1,0,715.0
400,9,1370,1,0,775.0
420,9,1660,1,0,920.0
440,9,1750,1,0,965.0
460,9,2040,1,0,1110.0
480,9,2370,1,0,1275.0
500,9,2490,1,0,1335.0
520,9,2640,1,0,1410.0
540,9,2790,1,0,1485.0
560,9,3120,1,0,1650.0
580,9,3430,1,0,1805.0
600,9,3580,1,0,1880.0
620,9,3630,1,1,1915.0
640,9,4300,1,1,2250.0
660,9,5240,1,1,2720.0
680,9,6070,1,1,3135.0
