0,11,10,0,0,5.0
20,11,240,0,0,120.0
40,11,350,0,0,175.0
60,11,370,0,0,185.0
80,11,430,0,0,215.0
100,11,540,0,0,270.0
120,11,610,0,0,305.0
140,11,860,0,0,430.0
160,11,1190,0,0,595.0
180,11,1750,0,0,875.0
200,11,2150,0,0,1075.0
220,11,2410,0,0,1205.0
240,11,2610,0,0,1305.0
260,11,2750,0,0,1375.0
280,11,1610,1,0,895.0
300,11,1620,1,1,910.0
320,11,1740,1,1,970.0
340,11,2080,1,1,1140.0
360,11,2210,1,1,1205.0
380,11,2540,1,1,1370.0
400,11,2590,1,1,1395.0
420,11,2920,1,2,1570.0
440,11,3785,1,3,2012.5
460,11,4515,1,3,2377.5
480,11,5135,1,3,2687.5
500,11,5745,1,3,2992.5
520,11,6320,1,3,3280.0
540,11,7025,1,3,3632.5
560,11,7470,1,3,3855.0
580,11,8215,1,3,4227.5
600,11,8440,1,3,4340.0
620,11,8535,1,3,4387.5
640,11,8740,1,3,4490.0
660,11,9225,1,3,4732.5
680,11,9960,1,3,5100.0
